AI;Habilidade;Acerto;Erro
3º;D03;0,42;0,58
3º;D15;0,44;0,56
3º;D07;0,42;0,58
4º;D12;0,32;0,68
4º;D12;0,47;0,53
4º;D03;0,45;0,55
4º;D09;0,44;0,56
4º;D09;0,29;0,71
4º;D06;0,47;0,53
4º;D15;0,46;0,54
4º;D02;0,41;0,59
4º;D02;0,44;0,56
4º;D05;0,43;0,57
4º;D05;0,39;0,61
4º;D04;0,49;0,51
4º;D04;0,39;0,61
4º;D10;0,3;0,7
4º;D10;0,38;0,62
4º;D06;0,47;0,53
5º;D03;0,49;0,51
5º;D03;0,1;0,9
5º;D03;0,35;0,65
5º;D09;0,16;0,84
5º;D01;0,49;0,51
5º;D01;0,38;0,62
5º;D15;0,46;0,54
5º;D15;0,34;0,66
5º;D02;0,44;0,56
5º;D02;0,43;0,57
5º;D02;0,4;0,6
5º;D05;0,47;0,53
5º;D04;0,41;0,59
5º;D10;0,41;0,59
5º;D07;0,37;0,63
5º;D07;0,34;0,66
6º;D12;0,29;0,71
6º;D03;0,26;0,74
6º;D03;0,49;0,51
6º;D03;0,38;0,62
6º;D03;0,35;0,65
6º;D09;0,43;0,57
6º;D09;0,47;0,53
6º;D09;0,34;0,66
6º;D01;0,47;0,53
6º;D01;0,32;0,68
6º;D01;0,35;0,65
6º;D01;0,47;0,53
6º;D06;0,32;0,68
6º;D06;0,42;0,58
6º;D15;0,42;0,58
6º;D02;0,44;0,56
6º;D02;0,37;0,63
6º;D02;0,19;0,81
6º;D02;0,33;0,67
6º;D05;0,36;0,64
6º;D04;0,48;0,52
6º;D04;0,38;0,62
6º;D13;0,46;0,54
6º;D13;0,38;0,62
6º;D10;0,45;0,55
6º;D07;0,45;0,55
6º;D14;0,32;0,68
6º;D14;0,27;0,73
6º;D14;0,3;0,7
6º;D14;0,18;0,82
6º;D06;0,32;0,68
6º;D06;0,42;0,58
